ID	Term	WebSite	Count	Size	numInt	numTotal	p_value	fdr	Enrichment_Score	GeneRatio	Genes
hsa05140	Leishmaniasis	http://www.genome.jp/kegg-bin/show_pathway?hsa05140+718+3117+3119+3123+3586	5	77	63	8088	0.000313387223971718	0.00312377062517398	3.50391871262711	0.0793650793650794	C3//HLA-DQA1//HLA-DQB1//HLA-DRB1//IL10
hsa04940	Type_I_diabetes_mellitus	http://www.genome.jp/kegg-bin/show_pathway?hsa04940+3107+3117+3119+3123	4	43	63	8088	0.000328561330275223	0.00312377062517398	3.48338355178449	0.0634920634920635	HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1
hsa04612	Antigen_processing_and_presentation	http://www.genome.jp/kegg-bin/show_pathway?hsa04612+3107+3117+3119+3123+10437	5	78	63	8088	0.000332860804321818	0.00312377062517398	3.47773734172811	0.0793650793650794	HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IFI30
hsa05152	Tuberculosis	http://www.genome.jp/kegg-bin/show_pathway?hsa05152+718+30835+2213+3117+3119+3123+3586	7	180	63	8088	0.00046520479435082	0.00405392749362858	3.33235581812808	0.111111111111111	C3//CD209//FCGR2B//HLA-DQA1//HLA-DQB1//HLA-DRB1//IL10
hsa05323	Rheumatoid_arthritis	http://www.genome.jp/kegg-bin/show_pathway?hsa05323+245973+6352+3117+3119+3123	5	93	63	8088	0.000749355120907001	0.00609475498337694	3.12531232048439	0.0793650793650794	ATP6V1C2//CCL5//HLA-DQA1//HLA-DQB1//HLA-DRB1
hsa04514	Cell_adhesion_molecules	http://www.genome.jp/kegg-bin/show_pathway?hsa04514+3107+3117+3119+3123+80380+6403	6	148	63	8088	0.000976615997256211	0.00714110845680297	3.01027616612276	0.0952380952380952	HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//PDCD1LG2//SELP
hsa04640	Hematopoietic_cell_lineage	http://www.genome.jp/kegg-bin/show_pathway?hsa04640+952+3117+3119+3123+3575	5	99	63	8088	0.000995072489882382	0.00714110845680297	3.00214528025008	0.0793650793650794	CD38//HLA-DQA1//HLA-DQB1//HLA-DRB1//IL7R
hsa05416	Viral_myocarditis	http://www.genome.jp/kegg-bin/show_pathway?hsa05416+3107+3117+3119+3123	4	60	63	8088	0.00117607908150635	0.00797120266354301	2.92956347459738	0.0634920634920635	HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1
hsa05145	Toxoplasmosis	http://www.genome.jp/kegg-bin/show_pathway?hsa05145+1234+3117+3119+3123+3586	5	112	63	8088	0.00172752010770804	0.0110924975337043	2.76257688889395	0.0793650793650794	CCR5//HLA-DQA1//HLA-DQB1//HLA-DRB1//IL10
hsa00350	Tyrosine_metabolism	http://www.genome.jp/kegg-bin/show_pathway?hsa00350+218+3242+7299	3	36	63	8088	0.0026777329087217	0.0163341707432024	2.57223274399809	0.0476190476190476	ALDH3A1//HPD//TYR
hsa05322	Systemic_lupus_erythematosus	http://www.genome.jp/kegg-bin/show_pathway?hsa05322+718+3117+3119+3123+3586	5	135	63	8088	0.00389455265674981	0.0226254963868322	2.40954241985597	0.0793650793650794	C3//HLA-DQA1//HLA-DQB1//HLA-DRB1//IL10
hsa05169	Epstein-Barr_virus_infection	http://www.genome.jp/kegg-bin/show_pathway?hsa05169+3627+377841+3107+3117+3119+3123	6	202	63	8088	0.00468772819731708	0.0259955836396674	2.32903757741391	0.0952380952380952	CXCL10//ENTPD8//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1
hsa04658	Th1_and_Th2_cell_differentiation	http://www.genome.jp/kegg-bin/show_pathway?hsa04658+3117+3119+3123+3594	4	92	63	8088	0.00559923370806758	0.0297002831471411	2.2518714049812	0.0634920634920635	HLA-DQA1//HLA-DQB1//HLA-DRB1//IL12RB1
hsa04350	TGF-beta_signaling_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04350+653+10468+57817+7044	4	94	63	8088	0.00604078141876304	0.0307073055453788	2.21890687861294	0.0634920634920635	BMP5//FST//HAMP//LEFTY2
hsa00360	Phenylalanine_metabolism	http://www.genome.jp/kegg-bin/show_pathway?hsa00360+218+3242	2	17	63	8088	0.00753220871991933	0.0367571785532063	2.12307765404925	0.0317460317460317	ALDH3A1//HPD
hsa04659	Th17_cell_differentiation	http://www.genome.jp/kegg-bin/show_pathway?hsa04659+3117+3119+3123+3594	4	107	63	8088	0.00948465118919888	0.0445049017339332	2.02297863624518	0.0634920634920635	HLA-DQA1//HLA-DQB1//HLA-DRB1//IL12RB1
hsa05164	Influenza_A	http://www.genome.jp/kegg-bin/show_pathway?hsa05164+6352+3627+3117+3119+3123	5	172	63	8088	0.0106753041904635	0.0482365596754278	1.97161974100012	0.0793650793650794	CCL5//CXCL10//HLA-DQA1//HLA-DQB1//HLA-DRB1
hsa00770	Pantothenate_and_CoA_biosynthesis	http://www.genome.jp/kegg-bin/show_pathway?hsa00770+8876+8875	2	21	63	8088	0.0114004789973388	0.0496735156312617	1.94307690116082	0.0317460317460317	VNN1//VNN2
hsa04380	Osteoclast_differentiation	http://www.genome.jp/kegg-bin/show_pathway?hsa04380+2213+23547+79168+4982	4	127	63	8088	0.0169318991762238	0.0712307482585965	1.77129432626819	0.0634920634920635	FCGR2B//LILRA4//LILRA6//TNFRSF11B
hsa01523	Antifolate_resistance	http://www.genome.jp/kegg-bin/show_pathway?hsa01523+8714+2350	2	31	63	8088	0.0240183559987566	0.097674647728277	1.61945672237453	0.0317460317460317	ABCC3//FOLR2
hsa04662	B_cell_receptor_signaling_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04662+2213+23547+79168	3	81	63	8088	0.0249919835215258	0.0983555480524565	1.60219927415494	0.0476190476190476	FCGR2B//LILRA4//LILRA6
hsa04960	Aldosterone-regulated_sodium_reabsorption	http://www.genome.jp/kegg-bin/show_pathway?hsa04960+6337+6338	2	37	63	8088	0.0333930265000885	0.127310913531587	1.47634421788116	0.0317460317460317	SCNN1A//SCNN1B
hsa04970	Salivary_secretion	http://www.genome.jp/kegg-bin/show_pathway?hsa04970+54831+952+4069	3	93	63	8088	0.0356086597244417	0.131644135950966	1.44844437244294	0.0476190476190476	BEST2//CD38//LYZ
hsa05142	Chagas_disease	http://www.genome.jp/kegg-bin/show_pathway?hsa05142+718+6352+3586	3	102	63	8088	0.0448719232815959	0.161011018833962	1.34802531551967	0.0476190476190476	C3//CCL5//IL10
hsa04620	Toll-like_receptor_signaling_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04620+6352+3627+51311	3	104	63	8088	0.0470786393780273	0.164102685831981	1.32717609721249	0.0476190476190476	CCL5//CXCL10//TLR8
hsa05144	Malaria	http://www.genome.jp/kegg-bin/show_pathway?hsa05144+3586+6403	2	50	63	8088	0.0576107494459966	0.1952364286781	1.2394964750921	0.0317460317460317	IL10//SELP
hsa04062	Chemokine_signaling_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04062+6352+729230+1234+3627	4	192	63	8088	0.0620841427702254	0.204709876161284	1.20701931104402	0.0634920634920635	CCL5//CCR2//CCR5//CXCL10
hsa04623	Cytosolic_DNA-sensing_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04623+6352+3627	2	63	63	8088	0.0861927825060487	0.269628704249691	1.06452909901322	0.0317460317460317	CCL5//CXCL10
hsa05166	Human_T-cell_leukemia_virus_1_infection	http://www.genome.jp/kegg-bin/show_pathway?hsa05166+3107+3117+3119+3123	4	219	63	8088	0.0906083509809538	0.270790906189523	1.04283177342905	0.0634920634920635	HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1
hsa05168	Herpes_simplex_virus_1_infection	http://www.genome.jp/kegg-bin/show_pathway?hsa05168+718+6352+3107+3117+3119+3123+8740	7	498	63	8088	0.0910035012604136	0.270790906189523	1.04094189835115	0.111111111111111	C3//CCL5//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//TNFSF14
