miRNA	Target_Gene	miRMap_score
hsa-miR-935	LTF	66.4367
hsa-miR-939-5p	LTF	98.5167
hsa-miR-1207-5p	DYSF	58.4943
hsa-miR-122-5p	DYSF	73.819
hsa-miR-1228-5p	DYSF	91.5289
hsa-miR-1231	DYSF	81.3727
hsa-miR-1252	DYSF	74.4552
hsa-miR-1273g-5p	DYSF	59.13
hsa-miR-1275	DYSF	89.9663
hsa-miR-1286	DYSF	85.823
hsa-miR-1306-3p	DYSF	70.0305
hsa-miR-136-5p	DYSF	50.5018
hsa-miR-147a	DYSF	90.0957
hsa-miR-1914-3p	DYSF	53.2002
hsa-miR-1972	DYSF	88.1985
hsa-miR-218-1-3p	DYSF	92.1262
hsa-miR-221-5p	DYSF	86.8724
hsa-miR-25-5p	DYSF	83.1674
hsa-miR-28-5p	DYSF	89.1845
hsa-miR-3120-5p	DYSF	79.7379
hsa-miR-3127-3p	DYSF	90.2829
hsa-miR-3135a	DYSF	85.6576
hsa-miR-3135b	DYSF	73.3734
hsa-miR-3139	DYSF	91.7457
hsa-miR-3144-5p	DYSF	81.4382
hsa-miR-3147	DYSF	82.8646
hsa-miR-3150b-3p	DYSF	63.6458
hsa-miR-3151	DYSF	58.9695
hsa-miR-3160-3p	DYSF	90.3136
hsa-miR-3170	DYSF	55.793
hsa-miR-3175	DYSF	90.9213
hsa-miR-3191-3p	DYSF	53.5646
hsa-miR-3192	DYSF	71.5319
hsa-miR-326	DYSF	74.5733
hsa-miR-330-5p	DYSF	84.2368
hsa-miR-346	DYSF	85.0225
hsa-miR-3612	DYSF	69.2009
hsa-miR-3620-3p	DYSF	70.154
hsa-miR-3670	DYSF	82.6719
hsa-miR-3911	DYSF	75.1894
hsa-miR-3940-5p	DYSF	80.7662
hsa-miR-4265	DYSF	84.8273
hsa-miR-4266	DYSF	75.3384
hsa-miR-4288	DYSF	84.2391
hsa-miR-4296	DYSF	81.3635
hsa-miR-4303	DYSF	92.7991
hsa-miR-4314	DYSF	75.8129
hsa-miR-4322	DYSF	79.3673
hsa-miR-4425	DYSF	61.5332
hsa-miR-4434	DYSF	60.6035
hsa-miR-4436a	DYSF	78.3499
hsa-miR-4472	DYSF	51.6763
hsa-miR-4486	DYSF	86.8183
hsa-miR-4487	DYSF	83.658
hsa-miR-4507	DYSF	78.9667
hsa-miR-4516	DYSF	66.0166
hsa-miR-4517	DYSF	56.5751
hsa-miR-4525	DYSF	57.2497
hsa-miR-452-5p	DYSF	90.8425
hsa-miR-4534	DYSF	69.7288
hsa-miR-4650-5p	DYSF	86.6614
hsa-miR-4651	DYSF	54.6146
hsa-miR-4665-5p	DYSF	93.5222
hsa-miR-4676-3p	DYSF	91.4807
hsa-miR-4695-3p	DYSF	56.6351
hsa-miR-4695-5p	DYSF	84.7962
hsa-miR-4716-5p	DYSF	66.9457
hsa-miR-4722-5p	DYSF	69.8567
hsa-miR-4723-5p	DYSF	88.4904
hsa-miR-4724-5p	DYSF	72.5624
hsa-miR-4736	DYSF	65.7589
hsa-miR-4746-5p	DYSF	53.7413
hsa-miR-4763-3p	DYSF	82.4748
hsa-miR-4766-5p	DYSF	64.6342
hsa-miR-4784	DYSF	57.8752
hsa-miR-4795-5p	DYSF	65.1369
hsa-miR-491-5p	DYSF	54.6146
hsa-miR-5000-3p	DYSF	78.1621
hsa-miR-5001-3p	DYSF	52.314
hsa-miR-5010-5p	DYSF	51.7502
hsa-miR-5093	DYSF	69.8587
hsa-miR-514a-5p	DYSF	77.6478
hsa-miR-516b-5p	DYSF	73.8431
hsa-miR-5189	DYSF	51.2745
hsa-miR-518a-3p	DYSF	53.6982
hsa-miR-518b	DYSF	52.6064
hsa-miR-518c-3p	DYSF	52.6163
hsa-miR-518d-3p	DYSF	59.4963
hsa-miR-518f-3p	DYSF	55.525
hsa-miR-5588-3p	DYSF	76.295
hsa-miR-558	DYSF	57.6093
hsa-miR-5698	DYSF	90.439
hsa-miR-5703	DYSF	68.6471
hsa-miR-6075	DYSF	63.4461
hsa-miR-608	DYSF	73.3401
hsa-miR-625-5p	DYSF	50.1962
hsa-miR-632	DYSF	89.9062
hsa-miR-640	DYSF	90.5565
hsa-miR-644a	DYSF	63.2586
hsa-miR-6501-3p	DYSF	54.7924
hsa-miR-650	DYSF	73.6847
hsa-miR-6515-5p	DYSF	83.2901
hsa-miR-654-3p	DYSF	87.8213
hsa-miR-658	DYSF	88.5912
hsa-miR-708-5p	DYSF	89.8029
hsa-miR-765	DYSF	93.8778
hsa-miR-766-5p	DYSF	64.0521
hsa-miR-891b	DYSF	51.2642
hsa-miR-892c-3p	DYSF	90.9578
hsa-miR-92a-1-5p	DYSF	81.9086
hsa-miR-939-5p	DYSF	61.027
hsa-miR-940	DYSF	64.952
