miRNA	Target_Gene	miRBase_Acc	Link_UTRs	Weighted_Context++_Score
hsa-miR-3202	LTF	MIMAT0015089	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-3202&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.31
hsa-miR-4269	LTF	MIMAT0016897	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-4269/6715b-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.33
hsa-miR-3619-5p	LTF	MIMAT0017999	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-214-3p/3619-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&subset=1	-0.45
hsa-miR-3682-5p	LTF	MIMAT0019222	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-3682-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.33
hsa-miR-3940-5p	DYSF	MIMAT0019229	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-3940-5p/4507&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.37
hsa-miR-4428	LTF	MIMAT0018943	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-4428&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&subset=1	-0.38
hsa-miR-4507	DYSF	MIMAT0019044	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-3940-5p/4507&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.37
hsa-miR-4639-5p	LTF	MIMAT0019697	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-4639-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.30
hsa-miR-4650-5p	DYSF	MIMAT0019713	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-4650-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.36
hsa-miR-4651	DYSF	MIMAT0019715	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-608/4651&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.33
hsa-miR-4665-5p	DYSF	MIMAT0019739	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-1275/4665-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.44
hsa-miR-1343-5p	LTF	MIMAT0027038	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-939-5p/1343-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.54
hsa-miR-4723-5p	DYSF	MIMAT0019838	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-4723-5p/5698/6870-5p/7111-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.68
hsa-miR-4736	DYSF	MIMAT0019862	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-4736&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.31
hsa-miR-5698	DYSF	MIMAT0022491	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-4723-5p/5698/6870-5p/7111-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.68
hsa-miR-6510-5p	LTF	MIMAT0025476	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-6510-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.41
hsa-miR-6715b-5p	LTF	MIMAT0025842	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-4269/6715b-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.33
hsa-miR-6722-3p	LTF	MIMAT0025854	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-1909-3p/6722-3p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.31
hsa-miR-6737-5p	DYSF	MIMAT0027375	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-6737-5p/6812-5p/6819-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.30
hsa-miR-6763-5p	LTF	MIMAT0027426	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-3150a-3p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&subset=1	-0.60
hsa-miR-6774-5p	LTF	MIMAT0027448	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-635/6774-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.31
hsa-miR-6781-5p	DYSF	MIMAT0027462	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-6781-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.73
hsa-miR-6799-3p	LTF	MIMAT0027499	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-3173-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&subset=1	-0.34
hsa-miR-6810-5p	LTF	MIMAT0027520	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-6810-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.50
hsa-miR-6812-5p	DYSF	MIMAT0027524	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-6737-5p/6812-5p/6819-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.30
hsa-miR-6819-5p	DYSF	MIMAT0027538	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-6737-5p/6812-5p/6819-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.30
hsa-miR-6825-5p	LTF	MIMAT0027550	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-6825-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.38
hsa-miR-6870-5p	DYSF	MIMAT0027640	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-4723-5p/5698/6870-5p/7111-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.68
hsa-miR-6877-5p	DYSF	MIMAT0027654	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-6877-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.31
hsa-miR-7111-5p	DYSF	MIMAT0028119	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-4723-5p/5698/6870-5p/7111-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.68
